Profile,Lat,Long,Depth,Symbol,SiBCS,Soil taxonomy,Soil order,PM,Lab_SOM,LAB_L_dry,LAB_A_dry,LAB_B_dry,LAB_L_moist,LAB_A_moist,LAB_B_moist,pXRF_Ag,pXRF_Al2O3,pXRF_As,pXRF_Bi,pXRF_CaO,pXRF_Ce,pXRF_Cl,pXRF_Cr,pXRF_Cu,pXRF_Fe,pXRF_K2O,pXRF_Mn,pXRF_Mo,pXRF_Nb,pXRF_Ni,pXRF_P2O5,pXRF_Pb,pXRF_Rb,pXRF_SiO2,pXRF_Sr,pXRF_Ta,pXRF_Ti,pXRF_Tl,pXRF_V,pXRF_Y,pXRF_Zn,pXRF_Zr
73,7651255.46167,503133.418081,20-60,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,1.2180974477958237,37.9,17.87,22.85,26.01,13.77,14.28,0,182531,10,0,1485,837,401,950,45,100580,1764,718,4,15,69,535,10,3,203653,0,24,12449,19,206,4,23,304
73,7651255.46167,503133.418081,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,1.0440835266821347,35.51,18.87,21.8,26.46,15.19,14.94,0,189227,11,0,1428,958,328,915,44,106578,1805,651,0,9,67,221,16,6,199219,0,21,12587,0,250,0,20,256
123,7652678,503963,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gneiss,1.91415313225058,57.29,14.79,26.98,38.69,17.35,24.9,0,179672,3,0,1551,398,323,143,20,65032,1300,281,0,18,5,440,0,0,251171,0,0,8310,0,26,7,20,222
71,7651257,503128,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,1.0440835266821347,50.58,19.07,26.31,32.79,19.13,19.54,0,126145,7,0,1426,1682,235,1260,44,107208,1789,490,0,14,65,0,24,6,145722,0,13,17665,22,0,4,22,237
116,7652324,503763,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,2.494199535962877,59.57,15.92,29.14,40.16,17.5,24.34,0,167458,6,10,4589,0,252,2435,63,162593,1250,283,0,11,153,587,36,10,148556,0,14,13401,0,308,0,48,226
68,7651887,503071,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gneiss,1.6821345707656612,48.23,19.7,27.55,33.63,18.71,21.75,0,225022,0,0,1254,927,332,281,38,90450,1812,351,0,4,30,221,7,0,268195,2,7,11760,0,139,0,25,220
87,7652560,503312,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,2.3781902552204173,58.64,15.77,27.76,39.67,17.54,25.5,0,174562,6,9,151,1868,411,446,40,120200,2189,398,0,17,19,223,0,6,209644,3,7,12697,0,41,4,31,303
41,7651884.46172,502510.418039,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gabbro,0.9280742459396752,47.66,15.97,23.24,32.14,15.79,18.43,8,182265,1,0,335,975,539,100,38,67902,1606,587,4,0,19,0,0,2,270413,0,12,9228,0,125,0,31,240
41,7651884.46172,502510.418039,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gabbro,0.6380510440835268,45.78,17.06,24.39,32.04,17.52,19.87,0,194798,0,0,275,1513,866,115,35,77287,1644,423,0,0,18,439,17,2,228874,0,13,9035,0,67,0,35,218
41,7651884.46172,502510.418039,20-60,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gabbro,0.4640371229698376,48.53,20.48,27.33,34.17,19.27,22.29,0,183872,0,8,253,1287,979,129,36,75616,1603,351,0,0,22,0,7,0,224826,0,11,9252,0,30,0,31,206
41,7651884.46172,502510.418039,20-60,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gabbro,0.7540603248259861,46.92,19.94,26.55,29.51,16.26,18.94,0,177936,0,0,276,1461,689,108,36,75234,1622,322,0,4,16,203,8,0,204914,0,13,8672,0,42,0,32,204
41,7651884.46172,502510.418039,0-20,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gabbro,0.8120649651972157,49.65,16.73,24.96,32.07,15.78,18.91,0,180142,3,0,436,1167,595,142,40,71193,1772,709,3,0,22,591,0,0,285493,0,0,11236,0,165,0,36,262
48,7651600.4617,502743.418054,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,0.2900232018561485,55.14,18.55,29.51,37.87,20.74,25.47,0,229247,0,0,237,1240,607,159,14,49715,2310,76,0,0,16,0,0,2,231026,0,18,5761,0,0,0,19,220
